class,precision,recall,f1,support
Brute-Force,0.9935371707169584,0.996172647694115,0.9948531637904935,26389.0
DDoS,1.0,0.9995396945169,0.9997697942759715,475771.0
De-Authentication,1.0,1.0,1.0,6088.0
DoS,1.0,1.0,1.0,182165.0
Fake-Landing,0.07392996108949416,0.005267535347934572,0.009834368530020704,3607.0
GPS-Jamming,0.9995194617972128,1.0,0.9997596731554914,6240.0
MITM,0.8597584282547206,0.9892250857595215,0.919959100204499,22738.0
Normal,0.9711111111111111,0.9931818181818182,0.9820224719101124,1760.0
Replay-Attack,0.984251968503937,1.0,0.9920634920634921,2000.0
Scanning,1.0,1.0,1.0,1355.0
