class,precision,recall,f1,support
Brute-Force,0.5093500415772273,0.9981052711357005,0.67449423815621,26389.0
DDoS,1.0,0.9998339537298406,0.999916969971507,475771.0
De-Authentication,0.9998357694202661,1.0,0.9999178779666584,6088.0
DoS,1.0,0.9999670628276562,0.9999835311426093,182165.0
Fake-Landing,0.06199261992619926,0.023288051011921263,0.03385731559854897,3607.0
GPS-Jamming,1.0,1.0,1.0,6240.0
MITM,0.8664122137404581,0.00998328788811681,0.01973913043478261,22738.0
Normal,0.9919908466819222,0.9852272727272727,0.9885974914481186,1760.0
Replay-Attack,1.0,0.75,0.8571428571428571,2000.0
Scanning,0.9985261606484893,1.0,0.9992625368731564,1355.0
