class,precision,recall,f1,support
Brute-Force,0.9993536858913432,0.996096858539543,0.9977226144386244,26389.0
DDoS,0.9999978978038356,0.9998339537298406,0.9999159190468583,475771.0
De-Authentication,1.0,1.0,1.0,6088.0
DoS,1.0,1.0,1.0,182165.0
Fake-Landing,0.07633587786259542,0.0055447740504574435,0.010338588782631171,3607.0
GPS-Jamming,1.0,1.0,1.0,6240.0
MITM,0.8592006724744001,0.9889612103087343,0.919525659374361,22738.0
Normal,0.971159179145868,0.9948863636363636,0.982879595846197,1760.0
Replay-Attack,0.984251968503937,1.0,0.9920634920634921,2000.0
Scanning,1.0,1.0,1.0,1355.0
