class,precision,recall,f1,support
Brute-Force,0.9978730677200045,0.9956042290348252,0.9967373572593801,26389.0
DDoS,0.9999957956165098,0.9998339537298406,0.9999148681244187,475771.0
De-Authentication,0.9993434011818779,1.0,0.999671592775041,6088.0
DoS,1.0,0.9999780418851042,0.999989020822011,182165.0
Fake-Landing,0.07597535934291581,0.010257831993346272,0.0180752320468979,3607.0
GPS-Jamming,1.0,1.0,1.0,6240.0
MITM,0.8571821251865233,0.9600228692057349,0.9056924736536387,22738.0
Normal,0.9719730941704036,0.9852272727272727,0.9785553047404063,1760.0
Replay-Attack,0.7984031936127745,1.0,0.8879023307436182,2000.0
Scanning,1.0,1.0,1.0,1355.0
