class,precision,recall,f1,support
Brute-Force,0.99859427833289,0.996021069384971,0.9973060140390818,26389.0
DDoS,1.0,0.9998339537298406,0.999916969971507,475771.0
De-Authentication,1.0,1.0,1.0,6088.0
DoS,1.0,1.0,1.0,182165.0
Fake-Landing,0.0718954248366013,0.009148877183254783,0.016232169208066895,3607.0
GPS-Jamming,1.0,1.0,1.0,6240.0
MITM,0.8597194388777555,0.9810889260269153,0.9164030727519205,22738.0
Normal,0.9658025372311086,0.9948863636363636,0.9801287433529247,1760.0
Replay-Attack,0.984251968503937,1.0,0.9920634920634921,2000.0
Scanning,1.0,1.0,1.0,1355.0
