class,precision,recall,f1,support
Brute-Force,0.9945909142489693,0.9964000151578309,0.9954946427895355,26389.0
DDoS,0.9999978972910801,0.9995901389534041,0.9997939765469628,475771.0
De-Authentication,0.08963090558426454,1.0,0.16451608544675791,6088.0
DoS,1.0,0.6605495018252683,0.7955794164512354,182165.0
Fake-Landing,0.07063197026022305,0.005267535347934572,0.00980392156862745,3607.0
GPS-Jamming,1.0,1.0,1.0,6240.0
MITM,0.8600604275825142,0.9890051895505322,0.9200368211107701,22738.0
Normal,0.970620842572062,0.9948863636363636,0.9826038159371493,1760.0
Replay-Attack,0.984251968503937,1.0,0.9920634920634921,2000.0
Scanning,1.0,1.0,1.0,1355.0
