method,K,actual_K,seed,classifier,accuracy,precision,recall,f1,pr_auc,fpr,fnr,train_time_s,inference_ms
AutoEncoder,4,4,42,DT,0.9719329279933198,0.8219698534180482,0.8894329151234162,0.8460756895234752,0.8519497873792379,0.0031233149141546104,0.11056708487658377,0.13443450000340817,9.59031084487886e-05
AutoEncoder,4,4,42,RF,0.9923239936658184,0.8595883969290572,0.8923072036949119,0.8683164040735699,0.8956726170908886,0.0010207838039451853,0.10769279630508807,1.8154338000022108,0.0032745299150009673
AutoEncoder,4,4,42,XGB,0.9815811556722651,0.8356017913896702,0.8899596175768488,0.8548378646232523,0.8944406236754899,0.0021828092447075354,0.11004038242315117,2.2708616000018083,0.0012960478662000427
AutoEncoder,4,4,42,LGBM,0.9882614374417158,0.858223604667962,0.8915846721374583,0.8630782740010826,0.8937187496654369,0.001499161298024548,0.10841532786254167,1.2667889000003925,0.0032361644415085855
AutoEncoder,4,4,42,KNN,0.9606668195733354,0.83963881680517,0.7694558242226968,0.7483508935918952,0.7245827181957851,0.004309961477202361,0.23054417577730332,0.10444619999907445,0.018799690570000485
AutoEncoder,4,4,42,MLP,0.9913955663475312,0.8565248367569565,0.8885324016600737,0.8678869861242395,0.892537236340449,0.0011570617915316204,0.11146759833992628,75.24070049999864,0.002496565917651548
AutoEncoder,4,4,52,DT,0.9709948867826834,0.8242134987384198,0.8894662685123237,0.8460402768241891,0.8535308446677217,0.003222504984104652,0.11053373148767638,0.13665400000172667,9.143374724088175e-05
AutoEncoder,4,4,52,RF,0.992392664325455,0.8541608596181286,0.8922723398964573,0.8680494516001633,0.8959391367272346,0.0010149681258190568,0.10772766010354265,1.8673951999953715,0.0033631698651167257
AutoEncoder,4,4,52,XGB,0.9794194033069042,0.8258525889328064,0.8896884021928713,0.8519430404764836,0.8946192753723512,0.0024056215028479297,0.11031159780712863,2.4045714999956544,0.0014526401808432898
AutoEncoder,4,4,52,LGBM,0.9898477296793218,0.846948441567384,0.8715745036279955,0.8525796909228929,0.8949929059158667,0.0012936338224415732,0.12842549637200454,1.4333245000016177,0.003654251743887715
AutoEncoder,4,4,52,KNN,0.9600954796851587,0.8347504586200991,0.7694933059755265,0.748073572809608,0.7228462036790018,0.004368671324360673,0.2305066940244735,0.09624569999868982,0.02147185230863409
AutoEncoder,4,4,52,MLP,0.9912101555665124,0.8454304787309825,0.8891008172867728,0.8620629584261119,0.8937261319343964,0.0011647177470643436,0.11089918271322712,74.15751880000607,0.002523399664611795
AutoEncoder,4,4,62,DT,0.9723463253643322,0.8212180443403092,0.8895233125716693,0.8458244889599316,0.852154047924951,0.003080401098662076,0.1104766874283308,0.12868880000314675,9.233827716205413e-05
AutoEncoder,4,4,62,RF,0.9923322341449747,0.854879288756884,0.8922986868335243,0.8674534972168422,0.8957000320670632,0.0010200035511115178,0.10770131316647566,1.837913399998797,0.0031329433755528033
AutoEncoder,4,4,62,XGB,0.9828364553304226,0.8364298834709347,0.890097367289602,0.8553916083485904,0.894530362615557,0.0020527596981327395,0.10990263271039802,2.431235600000946,0.0014421124193651545
AutoEncoder,4,4,62,LGBM,0.9862493871143627,0.8621904493067294,0.8917339931483383,0.8608985716030741,0.8955136144058823,0.0016758817097198074,0.10826600685166157,1.50142649999907,0.0038437734252725598
AutoEncoder,4,4,62,KNN,0.9609030466424855,0.8285243731983695,0.7695082181455722,0.7481997305785002,0.7215237913854842,0.004282862958928489,0.2304917818544277,0.09844999999768334,0.025108855081566087
AutoEncoder,4,4,62,MLP,0.9911332444277193,0.8220146101306736,0.8882326371516998,0.8493762314302797,0.8942283885870148,0.0012057316176770437,0.11176736284830022,70.05404769999586,0.002371900103424826
AutoEncoder,4,4,72,DT,0.9723504456039104,0.8223054657730874,0.8895056572161824,0.8464264700240763,0.8522625634242411,0.0030784734750641646,0.11049434278381749,0.15971830000489717,0.00011860411776971086
AutoEncoder,4,4,72,RF,0.9922965254019637,0.8561484476902385,0.8921099170783678,0.8680695975440053,0.8956912841049945,0.001024103468211212,0.10789008292163202,1.8321875000037835,0.0036602175761233833
AutoEncoder,4,4,72,XGB,0.9787148423390325,0.8269421249546166,0.8901263982761393,0.8510991741874709,0.8940294157845233,0.002427160532867948,0.10987360172386085,2.526403500000015,0.0016075360555341438
AutoEncoder,4,4,72,LGBM,0.9902185512413595,0.8508935404824948,0.8888589318612601,0.8638161992515702,0.8953115171251389,0.0012572347948342207,0.11114106813873995,1.5952150999946753,0.0038397880548817318
AutoEncoder,4,4,72,KNN,0.9605624401706878,0.8271233875225198,0.769457004838455,0.7478625813088854,0.7231531796248285,0.004319334242962316,0.23054299516154492,0.11199499999929685,0.025185119617426595
AutoEncoder,4,4,72,MLP,0.9913035476636182,0.8538947762218922,0.8889267266243687,0.8666811335352635,0.8929862177467612,0.001170872202778932,0.11107327337563136,77.81694450000214,0.0018105656676926391
AutoEncoder,4,4,82,DT,0.9717241691880244,0.8334994674748138,0.8901819186196634,0.8466683866344956,0.8512748665458565,0.003144217497743564,0.10981808138033648,0.17106469999998808,9.95399065852041e-05
AutoEncoder,4,4,82,RF,0.9923748099539494,0.8561265260564852,0.8922827108545329,0.8681640544563693,0.8959246764534203,0.0010157095959117683,0.10771728914546712,2.0163504000011017,0.0035253424949148356
AutoEncoder,4,4,82,XGB,0.9914175409586149,0.8553993955020125,0.8897120908314303,0.8668283264179981,0.8946708530731472,0.001283774952972651,0.11028790916856976,2.4928814000013517,0.0014548152553204815
AutoEncoder,4,4,82,LGBM,0.3646975126113666,0.22891560389309054,0.24882101163673448,0.10954309695068817,0.12916854513817372,0.06416128402600867,0.7511789883632655,1.3908994999947026,0.001345611601500395
AutoEncoder,4,4,82,KNN,0.9604951429242439,0.8335702993740949,0.7691668936328682,0.7474917107527217,0.7223649958548963,0.004458807084080567,0.2308331063671317,0.09961290000501322,0.024730238850284053
AutoEncoder,4,4,82,MLP,0.9894247184159601,0.8174898018864287,0.8881625195148004,0.8451647850175739,0.89402325631686,0.0013510287919631576,0.11183748048519951,57.65721269999631,0.0015859556140357949
AutoEncoder,8,8,42,DT,0.9944005944132298,0.8966333354476539,0.8990258417826711,0.8903600367623536,0.8972435737981502,0.0005771532760548786,0.10097415821732884,0.2617478999964078,6.466867093354043e-05
AutoEncoder,8,8,42,RF,0.9943552717778696,0.8960999621635217,0.8989845622196257,0.8905277480169691,0.8993713207033427,0.0005885851269779121,0.10101543778037428,1.8468210999999428,0.0035168510931744374
AutoEncoder,8,8,42,XGB,0.994348404711906,0.8945720392513522,0.8988394418616744,0.890031940852819,0.8992631010279567,0.0005928529975006548,0.10116055813832561,2.3527496000024257,0.0011682580863108156
AutoEncoder,8,8,42,LGBM,0.9943690059097969,0.89692119637635,0.8987929764442475,0.8903899504810884,0.8993111883017267,0.0005916155598601205,0.10120702355575253,1.534259899999597,0.0032032184564707235
AutoEncoder,8,8,42,KNN,0.9633312411672365,0.8377245630108925,0.7764480798818374,0.7572381058420375,0.729837805490518,0.003799360285868681,0.22355192011816255,0.17679079999652458,0.02486544355066052
AutoEncoder,8,8,42,MLP,0.9935586921260848,0.8693120640947116,0.8958873304310497,0.8746203635723198,0.8926247634132471,0.0006657502178765429,0.10411266956895018,56.96881130000111,0.001447773079184016
