method,K,actual_K,seed,classifier,accuracy,precision,recall,f1,pr_auc,fpr,fnr,train_time_s,inference_ms
KernelPCA,4,4,42,DT,0.9920960070758248,0.8444511656765924,0.8916265801205319,0.8628739514474029,0.8671209875056354,0.0008103672675953295,0.10837341987946814,0.2768089000019245,8.235479931959809e-05
KernelPCA,4,4,42,RF,0.9843046340334536,0.79087741402807,0.8853034694344706,0.8269951207236181,0.8722148089891102,0.0015983415595712703,0.11469653056552949,2.175857000001997,0.003409766341213943
KernelPCA,4,4,42,XGB,0.9886130312190553,0.8304099204180471,0.8453554709519645,0.8250280353821463,0.867555314990795,0.0011642621161345602,0.1546445290480355,2.1048563000003924,0.0010783111962020912
KernelPCA,4,4,42,LGBM,0.23086938428513157,0.18102345772942224,0.18053986256058605,0.1742861428420923,0.21977987238488156,0.07997817236596495,0.8194601374394139,1.4959703000058653,0.0013916887900625222
KernelPCA,4,4,42,KNN,0.9597013100988445,0.7765259117644889,0.7320795185890402,0.7044692542093584,0.6704700511422834,0.004168146234755082,0.26792048141095975,0.1294004000010318,0.019346081171464573
KernelPCA,4,4,42,MLP,0.975365087561958,0.7296700470327313,0.7991357915703929,0.7447109568315529,0.7865263875652918,0.002542084985149333,0.200864208429607,84.88319279999996,0.0023879852440427457
KernelPCA,4,4,52,DT,0.9919037292288422,0.8615491803108064,0.8640926018460588,0.8553800081929225,0.8661893721250726,0.0008305765117686895,0.13590739815394118,0.20444940000015777,4.824292382844505e-05
KernelPCA,4,4,52,RF,0.9873920668907161,0.8112307977852131,0.8580832628773252,0.8294498857319663,0.8584031994674767,0.0012875449547585756,0.1419167371226748,1.9554967999938526,0.0032384767199592156
KernelPCA,4,4,52,XGB,0.9892832568571087,0.8469753515790991,0.8470072497176305,0.8307466646104501,0.8753069672511791,0.0011047424049078305,0.15299275028236942,1.800523099998827,0.0010730585774520187
KernelPCA,4,4,52,LGBM,0.25455252138060985,0.18309395671665904,0.2556594680616318,0.16654822999736502,0.19420978491761212,0.07504801318409343,0.744340531938368,1.2203104000000167,0.0012706884782966762
