method,K,actual_K,seed,classifier,accuracy,precision,recall,f1,pr_auc,fpr,fnr,train_time_s,inference_ms
LDA,4,4,42,DT,0.9943456578855205,0.8923515700173406,0.8977307646858412,0.8905911579914916,0.8956801407700887,0.00058247248200309,0.10226923531415877,0.1352536999984295,4.8541366519328236e-05
LDA,4,4,42,RF,0.9943497781250987,0.8884885052806769,0.8974785623538338,0.8899959909663178,0.8989514841532227,0.0005818353920762464,0.10252143764616625,1.7153823000044213,0.002766488168732999
LDA,4,4,42,XGB,0.9943854868681098,0.8911283430995895,0.8981046097791019,0.890392785172585,0.8990308667870425,0.0005810853550981545,0.10189539022089808,1.5863045999940368,0.0009376171006469036
LDA,4,4,42,LGBM,0.994502226989492,0.8934483780744047,0.8981937334872461,0.8904430908624323,0.8989100763312908,0.0005666254909612265,0.101806266512754,0.9701417999967816,0.0023402978658539643
LDA,4,4,42,KNN,0.963266690747178,0.8418457902748576,0.7766742302568097,0.7574302273935627,0.7321811832589995,0.0038042622191026276,0.22332576974319024,0.0790973999974085,0.0228803801058404
LDA,4,4,42,MLP,0.9942179304585964,0.8637170017380067,0.8966989890192787,0.8790678462184394,0.8956836537477706,0.0005984927002341842,0.10330101098072123,22.033853900000395,0.0015740858905114266
LDA,4,4,52,DT,0.9944486638749754,0.8940702637363188,0.8980275475900339,0.891129604480202,0.8969229674763181,0.0005730011055247291,0.10197245240996626,0.1447855999940657,4.906642238378577e-05
LDA,4,4,52,RF,0.9945310686665394,0.8905154613892808,0.8979709444603179,0.8903640855059397,0.8988757302162524,0.0005638736967333838,0.10202905553968215,1.6614726000043447,0.002744621095907219
LDA,4,4,52,XGB,0.9943264301008222,0.8899869828859448,0.8978901658691513,0.8905341214444686,0.89884832767482,0.0005869474120250391,0.10210983413084865,1.4974714999989374,0.0009007364241512033
LDA,4,4,52,LGBM,0.9943319237535931,0.8889920811981286,0.8977332555113946,0.8898869576182158,0.8990058206077327,0.0005860831069236479,0.10226674448860529,0.9537758000005851,0.002371455392224368
LDA,4,4,52,KNN,0.9633463487123565,0.8407350501706201,0.7766324493922394,0.7571630785489802,0.7311653446540983,0.0037952460482392454,0.2233675506077605,0.07956739999644924,0.019688422538806462
LDA,4,4,52,MLP,0.9943662590834115,0.920115525176907,0.8974314267397914,0.883250228730672,0.8979943461702661,0.0005837770404353722,0.10256857326020859,21.939025599996967,0.0012844602417450305
LDA,4,4,62,DT,0.9938896847055333,0.893202483898644,0.8975787546336992,0.8922848513133135,0.8963939817649672,0.0006279366187735074,0.10242124536630082,0.12942019999900367,4.915514487209617e-05
LDA,4,4,62,RF,0.9939295136881225,0.8929183415490689,0.8976160329828791,0.8920075357758339,0.8983117936371183,0.0006239231383202718,0.10238396701712107,1.5889520999990054,0.002781864902838107
LDA,4,4,62,XGB,0.9938031596743911,0.8920020883542454,0.8974281144188737,0.8920416643682412,0.8988680886960951,0.0006391258362431415,0.10257188558112633,1.5095204999961425,0.0008844609284542909
LDA,4,4,62,LGBM,0.9938841910527624,0.8898481711407278,0.8975452024032414,0.8908853139232267,0.8991467077980481,0.000630767957492752,0.10245479759675864,0.8848472999961814,0.0022322320848545477
LDA,4,4,62,KNN,0.9632625705075998,0.8396332548749476,0.7766168408540638,0.7571348815915929,0.729153796122647,0.0038037016556027384,0.22338315914593615,0.07654529999854276,0.017580335332565145
LDA,4,4,62,MLP,0.994322309861244,0.8770030821788218,0.8970861720345269,0.8827121307964854,0.89705541827741,0.0005858985931210855,0.10291382796547315,24.336888300000282,0.0011880688849158117
LDA,4,4,72,DT,0.9938333747646313,0.8923574677285682,0.8971675917512739,0.8921219837830254,0.8966341431383065,0.000633631280860241,0.10283240824872605,0.13370449999638367,4.857213097926457e-05
LDA,4,4,72,RF,0.9938883112923406,0.8916911692079952,0.8971805192633905,0.8918597406355341,0.898774619742364,0.0006280603511233389,0.10281948073660938,1.6362183000019286,0.0027241663038589784
LDA,4,4,72,XGB,0.9938031596743911,0.8918672977925999,0.8973857217918869,0.892045425417011,0.8988930653356558,0.0006393781350377751,0.10261427820811302,1.505385500000557,0.000897696236711824
LDA,4,4,72,LGBM,0.9938306279382458,0.8903064004032804,0.8972557728820452,0.8911250867952043,0.8989791349321987,0.0006362298150318698,0.10274422711795479,0.9278553999974974,0.002260106054963376
LDA,4,4,72,KNN,0.963266690747178,0.8358477380201499,0.7765197593320515,0.7568202595117548,0.7315926002990003,0.003803316506496384,0.22348024066794842,0.07480419999774313,0.018558226401669608
LDA,4,4,72,MLP,0.9943566451910624,0.8700363150478317,0.8968859458048548,0.8827045882948245,0.8956286372932197,0.0005834359287251246,0.10311405419514516,17.232087299998966,0.0012558263621162246
LDA,4,4,82,DT,0.9938992985978825,0.8919798116542186,0.8972105427577868,0.8919265912427197,0.8968157799631367,0.0006269665104571729,0.10278945724221329,0.13121350000437815,4.974145496170337e-05
LDA,4,4,82,RF,0.9939954375213738,0.8914428678886324,0.8974660410076529,0.891433281696368,0.898758251611334,0.0006173118128260115,0.102533958992347,1.67746829999669,0.002724755360775901
LDA,4,4,82,XGB,0.9938141469799331,0.8910493814752811,0.8971896753448811,0.8916597139118352,0.8991115299514899,0.0006383322994190696,0.10281032465511881,1.4894714999973075,0.000912647212722951
LDA,4,4,82,LGBM,0.9938498557229442,0.8897604489879882,0.897198280224395,0.8908186514199045,0.8990305695285606,0.0006317904065776041,0.10280171977560501,0.9401792000062414,0.002462381113924152
LDA,4,4,82,KNN,0.9633120133825381,0.843055753250735,0.7763238783612625,0.7573520416686661,0.7302124549506218,0.003930933452204867,0.22367612163873746,0.07634110000071814,0.020243934114625776
LDA,4,4,82,MLP,0.9937042739245144,0.8663336536639512,0.8959545314270058,0.8753835063213844,0.89832550690586,0.0006470258365171415,0.10404546857299415,32.104088299995055,0.001122078303781436
LDA,8,8,42,DT,0.9944678916596738,0.8912506626563772,0.898066464863849,0.8906124317285894,0.8964297917136465,0.0005699669269445245,0.10193353513615097,0.24614799999835668,4.738921019262111e-05
LDA,8,8,42,RF,0.9943621388438333,0.8885299488944579,0.8978205200198441,0.8899439757187932,0.8990880283006757,0.0005806636894224326,0.1021794799801558,1.6933180000050925,0.00278888469234894
LDA,8,8,42,XGB,0.9944280626770845,0.8908318008600616,0.8978498167285839,0.8905984024250078,0.8991424220821503,0.0005746797830984916,0.10215018327141605,1.6666511000003084,0.00087396997445019
LDA,8,8,42,LGBM,0.9944761321388301,0.893489100361468,0.8982088098579194,0.8906788133338603,0.8991389318590493,0.0005692092362978941,0.10179119014208052,1.252426099999866,0.002527757504668671
LDA,8,8,42,KNN,0.9632543300284434,0.8387331754576426,0.7766065190764292,0.756620729910125,0.7302928395125581,0.0038076000277317027,0.22339348092357078,0.13334449999820208,0.025034486130588375
LDA,8,8,42,MLP,0.9937509699730673,0.891903382049428,0.8974974751823641,0.8921730169293319,0.898401692283279,0.000642016578615182,0.10250252481763575,47.94082160000107,0.0010363449080031308
LDA,8,8,52,DT,0.9944967333367211,0.8931803038004855,0.8982012138986111,0.8911418568152463,0.8974160852409246,0.0005681359518077421,0.10179878610138877,0.24814569999580272,4.8448661122416945e-05
LDA,8,8,52,RF,0.9945530432776231,0.8897767234093896,0.8981967466207561,0.8897689130948574,0.8991558892089422,0.0005627922107450517,0.10180325337924394,1.715272699999332,0.0028221872154484246
LDA,8,8,52,XGB,0.9944843726179865,0.8908400278224986,0.8979571114494818,0.8904216672841274,0.8993486568956648,0.0005710394323261245,0.10204288855051824,1.6345328000024892,0.0008846379614138094
LDA,8,8,52,LGBM,0.9944953599235283,0.8925469978096414,0.8982913366916238,0.8905216566796025,0.8993711675160133,0.0005673162371613072,0.10170866330837616,1.227359600001364,0.002409756727311927
