method,K,actual_K,seed,classifier,accuracy,precision,recall,f1,pr_auc,fpr,fnr,train_time_s,inference_ms
PCA,4,4,42,DT,0.9943236832744368,0.8920970633468628,0.8984606772698568,0.8897360595299972,0.8941524605551556,0.0005898751100063664,0.10153932273014318,0.1869070000029751,5.6271485336083514e-05
PCA,4,4,42,RF,0.9943126959688949,0.8917456763857136,0.8984746845368479,0.8902829167917792,0.8992769178892047,0.0005897275461163886,0.10152531546315213,2.137394100005622,0.002771471873180832
PCA,4,4,42,XGB,0.994419822197928,0.9032657170615268,0.899266711219196,0.8918259338513286,0.899250650268316,0.0005852769098084673,0.10073328878080405,1.869638500000292,0.0010607484003205233
PCA,4,4,42,LGBM,0.9943731261493751,0.8897513133222615,0.8981820467532676,0.8893165183684235,0.8990790241910591,0.0005833328112774712,0.1018179532467323,1.0345429000008153,0.0029887759180265067
PCA,4,4,42,KNN,0.9632131276326614,0.8431408777153809,0.7758536292754903,0.7553438224037639,0.727760665539531,0.003814718263298055,0.22414637072450977,0.07985349999944447,0.016822902901066444
PCA,4,4,42,MLP,0.9933719079318732,0.8500243364219138,0.8943638212405922,0.8659242340480475,0.8956696895607907,0.0007012361669912076,0.1056361787594077,33.600263500004075,0.001503761641396553
PCA,4,4,52,DT,0.9944431702222045,0.891033016290721,0.8982686948427892,0.8893438551809755,0.8937725707371544,0.0005790609259842565,0.10173130515721081,0.20120459999452578,6.592177312911202e-05
PCA,4,4,52,RF,0.9945187079478048,0.8880503077633536,0.8983967245009374,0.8890646203677136,0.8991762369141469,0.0005689165776056395,0.10160327549906252,1.9187062999990303,0.0027391072539573996
PCA,4,4,52,XGB,0.9944417968090118,0.9002836733577249,0.8991609860672931,0.8915228140554134,0.8996248827632385,0.0005833500924856169,0.10083901393270692,1.6732947999989847,0.0010380306353609716
PCA,4,4,52,LGBM,0.262934462095856,0.3352970482582448,0.6065964608805027,0.3387832013817154,0.3468599189271603,0.07524803407764039,0.39340353911949716,1.1385793000008562,0.0010748315165321543
PCA,4,4,52,KNN,0.9633065197297672,0.8401979735734548,0.7761756333624146,0.7556425865189922,0.7278138165977451,0.0038059100708438707,0.22382436663758534,0.07916530000511557,0.023039546883520588
PCA,4,4,52,MLP,0.9933458130812113,0.8508047713133827,0.894276411709869,0.8661268695772544,0.8955438734605277,0.0007055458153735307,0.10572358829013104,16.91094929999963,0.0006358411400428061
PCA,4,4,62,DT,0.9939267668617371,0.8938942309122517,0.8989551578683382,0.8922563842047321,0.8944562090492265,0.0006243325909293994,0.10104484213166161,0.1888526999973692,6.3625975642374e-05
PCA,4,4,62,RF,0.9939006720110752,0.8895003960539608,0.8982527891550414,0.8903373572809927,0.8994084780757394,0.0006305032351562115,0.10174721084495868,1.8724575000014738,0.002703048290576287
PCA,4,4,62,XGB,0.993902045424268,0.8952930330316718,0.8988092918453688,0.892720411116809,0.8997095535690971,0.0006356069986641505,0.10119070815463119,1.6726490000000922,0.0010395066425162398
PCA,4,4,62,LGBM,0.9939089124902316,0.8953355819054776,0.8986046615045217,0.8927183993002572,0.8997560841324488,0.0006279967040817774,0.10139533849547835,1.2223037000003387,0.003081456037727044
PCA,4,4,62,KNN,0.9632172478722396,0.8378529952268623,0.7757981184844761,0.7552086804692312,0.7268813235799443,0.003812840705146528,0.22420188151552392,0.07868140000209678,0.024774177909205372
PCA,4,4,62,MLP,0.992803314870082,0.8520814835165446,0.8936174911069943,0.8670584164580502,0.8944001687702992,0.0007786594502085725,0.10638250889300571,36.61895139999979,0.0010868855521014317
PCA,4,4,72,DT,0.9938828176395696,0.8910551110844,0.8978853833855803,0.8913725701040278,0.8954308247083482,0.0006327715041703111,0.10211461661441967,0.1846743999994942,6.322782315391894e-05
PCA,4,4,72,RF,0.9939336339277007,0.8922223892836211,0.8979963942016227,0.8919379475158241,0.8991474351170774,0.0006271026631921971,0.10200360579837722,1.8546096999998554,0.002746894094741229
PCA,4,4,72,XGB,0.9939267668617371,0.8921936998104657,0.8978819074354852,0.8920032953361081,0.8994064061132168,0.0006314063383654685,0.10211809256451472,1.677709000003233,0.001031413255911939
PCA,4,4,72,LGBM,0.9939102859034243,0.8917907047101512,0.8975964416677202,0.8918638270328396,0.899235575965782,0.0006268220071378461,0.10240355833227974,1.0646627000023727,0.003098058955134023
PCA,4,4,72,KNN,0.963251583202058,0.8165923526832366,0.7761629949485276,0.7431461143023878,0.7541735066201782,0.0038089272324948304,0.22383700505147233,0.08204499999555992,0.02217465269813727
PCA,4,4,72,MLP,0.9929804851719445,0.8524046206261454,0.8940237755448877,0.8678329299458944,0.8913033499344125,0.0007307709410105494,0.10597622445511241,37.598247099995206,0.0011570269999374118
PCA,4,4,82,DT,0.9938924315319189,0.892079152387397,0.8973937864025879,0.8917185858321213,0.8967893509047851,0.0006352005486970415,0.10260621359741198,0.1834080000044196,5.790914322589841e-05
PCA,4,4,82,RF,0.9939514882992063,0.8920412871594511,0.8981420032686405,0.8919229571904008,0.8991739292684056,0.0006251298985866075,0.10185799673135949,1.8519305999943754,0.002706692642492816
PCA,4,4,82,XGB,0.9939459946464354,0.8958068660006748,0.8986716486064596,0.8935525327865952,0.8996681206372766,0.000626248591940135,0.10132835139354042,1.6632000999961747,0.0010271596579007171
PCA,4,4,82,LGBM,0.9939871970422174,0.8965237148934623,0.8985828389133683,0.8935819481837198,0.8996779196168158,0.0006190716853051094,0.10141716108663171,1.0440661999964505,0.0031209683112438606
PCA,4,4,82,KNN,0.9632584502680216,0.8402866489128021,0.775961012124918,0.7557884134955092,0.7283726917859138,0.003941136161288538,0.22403898787508192,0.08041149999917252,0.016708424241840675
PCA,4,4,82,MLP,0.992782713672191,0.8374219743003991,0.8928153695532174,0.8557353799468977,0.8970545391371314,0.0007618982741772714,0.10718463044678259,22.71711250000226,0.0009117148025115227
PCA,8,8,42,DT,0.9944898662707574,0.9034733082448072,0.8988000557895554,0.8926110430060769,0.8971362437913228,0.0005679053223571333,0.1011999442104448,0.31508210000174586,5.5190609147232105e-05
PCA,8,8,42,RF,0.9944143285451571,0.8993433649199373,0.8992036282214727,0.8926071492010758,0.8991128354431339,0.0005752203555716793,0.10079637177852743,1.9164327000034973,0.0027506016236460403
PCA,8,8,42,XGB,0.9944500372881682,0.9005075814932756,0.8991134052826293,0.891813806097652,0.8994110382684545,0.0005717025666571546,0.10088659471737052,1.8388627999956952,0.0010173177789673956
PCA,8,8,42,LGBM,0.9944500372881682,0.9011517960438622,0.899188879315885,0.8919885841776989,0.8994667346544467,0.0005716679847070252,0.10081112068411487,1.3880886000042665,0.0028851109649244574
PCA,8,8,42,KNN,0.96332300068808,0.8184715605749954,0.7772187666561182,0.7447425615694121,0.7299277915654697,0.003804895077986614,0.2227812333438818,0.13789769999857526,0.02305306635097296
PCA,8,8,42,MLP,0.9935861603899395,0.8734294610789531,0.8959763627807036,0.8796686564471352,0.8971785990788975,0.0006582317663446522,0.10402363721929642,23.764804400001594,0.000473805714228128
PCA,8,8,52,DT,0.9945338154929249,0.9037363241695516,0.8989619464274334,0.8924241747443616,0.8974430071667674,0.0005643090745459622,0.10103805357256646,0.33995799999684095,5.699843292827712e-05
