FE_Method,K,actual_K,Classifier,accuracy,precision,recall,f1,pr_auc,fpr,fnr,train_time_s,inference_ms
PCA,4,4,DT,0.9941 ± 0.0003,0.8920 ± 0.0012,0.8982 ± 0.0006,0.8909 ± 0.0013,0.8949 ± 0.0012,0.0006 ± 0.0000,0.1018 ± 0.0006,0.1890 ± 0.0071,0.0001 ± 0.0000
PCA,4,4,RF,0.9941 ± 0.0003,0.8907 ± 0.0018,0.8983 ± 0.0002,0.8907 ± 0.0012,0.8992 ± 0.0001,0.0006 ± 0.0000,0.1017 ± 0.0002,1.9270 ± 0.1206,0.0027 ± 0.0000
PCA,4,4,XGB,0.9941 ± 0.0003,0.8974 ± 0.0044,0.8988 ± 0.0005,0.8923 ± 0.0008,0.8995 ± 0.0002,0.0006 ± 0.0000,0.1012 ± 0.0005,1.7113 ± 0.0887,0.0010 ± 0.0000
PCA,4,4,LGBM,0.8478 ± 0.3270,0.7817 ± 0.2496,0.8399 ± 0.1304,0.7813 ± 0.2474,0.7889 ± 0.2471,0.0155 ± 0.0334,0.1601 ± 0.1304,1.1008 ± 0.0792,0.0027 ± 0.0009
PCA,4,4,KNN,0.9632 ± 0.0000,0.8356 ± 0.0108,0.7760 ± 0.0002,0.7530 ± 0.0055,0.7330 ± 0.0118,0.0038 ± 0.0001,0.2240 ± 0.0002,0.0800 ± 0.0013,0.0207 ± 0.0037
PCA,4,4,MLP,0.9931 ± 0.0003,0.8485 ± 0.0063,0.8938 ± 0.0006,0.8645 ± 0.0050,0.8948 ± 0.0022,0.0007 ± 0.0000,0.1062 ± 0.0006,29.4891 ± 9.1865,0.0011 ± 0.0003
PCA,8,8,DT,0.9942 ± 0.0003,0.8992 ± 0.0040,0.8986 ± 0.0004,0.8931 ± 0.0005,0.8971 ± 0.0002,0.0006 ± 0.0000,0.1014 ± 0.0004,0.3301 ± 0.0108,0.0001 ± 0.0000
PCA,8,8,RF,0.9942 ± 0.0003,0.8983 ± 0.0045,0.8990 ± 0.0004,0.8930 ± 0.0007,0.8993 ± 0.0001,0.0006 ± 0.0000,0.1010 ± 0.0004,1.9481 ± 0.0189,0.0028 ± 0.0000
PCA,8,8,XGB,0.9942 ± 0.0003,0.8975 ± 0.0053,0.8988 ± 0.0006,0.8924 ± 0.0010,0.8996 ± 0.0002,0.0006 ± 0.0000,0.1012 ± 0.0006,1.8349 ± 0.0063,0.0010 ± 0.0000
PCA,8,8,LGBM,0.9942 ± 0.0003,0.8973 ± 0.0042,0.8988 ± 0.0005,0.8925 ± 0.0008,0.8995 ± 0.0001,0.0006 ± 0.0000,0.1012 ± 0.0005,1.3517 ± 0.0568,0.0028 ± 0.0001
PCA,8,8,KNN,0.9634 ± 0.0000,0.8257 ± 0.0154,0.7775 ± 0.0004,0.7502 ± 0.0073,0.7304 ± 0.0165,0.0038 ± 0.0000,0.2225 ± 0.0004,0.1408 ± 0.0028,0.0232 ± 0.0013
PCA,8,8,MLP,0.9934 ± 0.0003,0.8727 ± 0.0020,0.8956 ± 0.0005,0.8798 ± 0.0007,0.8972 ± 0.0007,0.0007 ± 0.0000,0.1044 ± 0.0005,24.1518 ± 5.0800,0.0005 ± 0.0001
