method,K,actual_K,seed,classifier,accuracy,precision,recall,f1,pr_auc,fpr,fnr,train_time_s,inference_ms
StatFeatures,4,4,42,DT,0.9926549862452668,0.8681867835400524,0.8189669343321183,0.8169044051357067,0.7992348507892811,0.0007600578114279245,0.18103306566788152,0.2096432999969693,7.087388907281131e-05
StatFeatures,4,4,42,RF,0.9900757162693153,0.7703489345135038,0.8149921857674214,0.7756668748036374,0.8199577785505514,0.0010353869748072563,0.18500781423257856,2.0185372999985702,0.0033430343916389716
StatFeatures,4,4,42,XGB,0.9920781527043192,0.826722611917536,0.8174070725990779,0.8112976826959247,0.8169386365327911,0.0008305963639508205,0.18259292740092203,2.0230473000046914,0.0012889875609913043
StatFeatures,4,4,42,LGBM,0.9927071759465907,0.8641546839793348,0.8188705357588985,0.8154710471066278,0.8189680870865507,0.0007605127990345985,0.18112946424110135,1.1580881000045338,0.0029335997297076912
StatFeatures,4,4,42,KNN,0.9612724947913305,0.7887828086472953,0.6964403459610399,0.6797734209009796,0.628149652453054,0.00406075922470886,0.30355965403896,0.12296079999941867,0.02433305008974707
StatFeatures,4,4,42,MLP,0.991488958444637,0.8160388671012884,0.8129960290872713,0.7946289099006549,0.837058593407016,0.000958337262210137,0.1870039709127286,125.97971730000427,0.0033210709052024024
StatFeatures,4,4,52,DT,0.9926110370230994,0.8476479698887032,0.8185369826138492,0.814320160357477,0.7954568471945181,0.0007710598873505723,0.18146301738615062,0.2754121000034502,8.057485582880899e-05
StatFeatures,4,4,52,RF,0.9908571883759801,0.801421135042394,0.8153874336855627,0.7852944611085788,0.8161959205766399,0.0009575901107100693,0.1846125663144373,1.8480949999939185,0.00300539050944458
StatFeatures,4,4,52,XGB,0.9927071759465907,0.8527179977855418,0.8184607094852453,0.8125690859468746,0.8192299549332697,0.0007685659427755594,0.1815392905147546,1.7452025999955367,0.001122903725109902
StatFeatures,4,4,52,LGBM,0.9927483783423727,0.8616858242974803,0.818901183550094,0.8154975055779753,0.8184739037450821,0.00075627201609644,0.18109881644990594,1.0839119000011124,0.003000256278903834
StatFeatures,4,4,52,KNN,0.9613040832947634,0.7901624696750373,0.696306913938337,0.6799574210519845,0.628748699538273,0.004061536572031352,0.303693086061663,0.10932419999880949,0.024877213839052063
