method,K,actual_K,seed,classifier,accuracy,precision,recall,f1,pr_auc,fpr,fnr,train_time_s,inference_ms
Correlation,4,4,42,DT,0.2447202563338383,0.1133680554292164,0.24362839796688346,0.11559671455719496,0.24375771974686744,0.07832448586239169,0.7563716020331163,0.013354199999866978,4.7822796736456436e-05
Correlation,4,4,42,RF,0.21705147415305043,0.10963661245969494,0.2436300448255006,0.1085635513270556,0.24393033193598282,0.07907287456847541,0.7563699551744991,0.9982150000000729,0.00269967134222315
Correlation,4,4,42,XGB,0.24472712339980196,0.11336942374921513,0.24363114273124536,0.11560034063319136,0.2439258935860288,0.0783237933655945,0.7563688572687544,1.2266893000000891,0.0005663960127070553
Correlation,4,4,42,LGBM,0.2447367372921511,0.11337133997478284,0.2436349854013522,0.11560541780183371,0.24393139849156506,0.07832282387007841,0.7563650145986476,0.6328379000001405,0.0006904347264777732
Correlation,4,4,42,KNN,0.04472657403452486,0.10812359457832128,0.20004885680564324,0.015686446987986928,0.10370065159393553,0.09839019525111034,0.7999511431943567,0.07087920000003578,1.6201906537858823
Correlation,4,4,42,MLP,0.2170679551113632,0.10963989750039357,0.24363663225996937,0.10857225513941611,0.24309372767870166,0.07907121257616212,0.7563633677400305,37.68862169999966,0.0013155372861084454
Correlation,4,4,52,DT,0.24471201585468189,0.1133664138988048,0.24362510424964903,0.1155923637860933,0.24365916971209983,0.07832531685854834,0.7563748957503507,0.01238469999998415,3.983172941530221e-05
Correlation,4,4,52,RF,0.2397004311144012,0.11269067457600783,0.24362620215539382,0.11435639336499892,0.24392972799346174,0.07846389672142248,0.7563737978446059,0.9956142999999429,0.002663113829858862
Correlation,4,4,52,XGB,0.24471201585468189,0.1133664138988048,0.24362510424964903,0.1155923637860933,0.24392972799346174,0.07832531685854834,0.7563748957503507,1.0767124999997577,0.0005502191280750398
Correlation,4,4,52,LGBM,0.21704598050027948,0.10963551788618169,0.24362784901401105,0.10856065056083823,0.2439301830603559,0.07907342856591318,0.7563721509859888,0.6020124000001488,0.0006997922025837845
Correlation,4,4,52,KNN,0.04470597283663388,0.10812333667424301,0.20004062251255733,0.015669509143479716,0.10369764995015167,0.09839227274150195,0.7999593774874424,0.07041539999954693,1.493166272680202
Correlation,4,4,52,MLP,0.19504527456589843,0.1076133680617221,0.242661436688295,0.09970419567974234,0.2440119577373247,0.08127002834854481,0.7573385633117048,28.822786499999893,0.0014648038147917221
Correlation,4,4,62,DT,0.2447202563338383,0.1133680554292164,0.24362839796688346,0.11559671455719496,0.2435332196909485,0.07832448586239169,0.7563716020331163,0.012524499999926775,4.113276373341195e-05
Correlation,4,4,62,RF,0.8619170376026798,0.1966104409248804,0.24363224063699018,0.19997089235276122,0.24361491129580842,0.03054840506973941,0.7563677593630096,0.9905951000000641,0.0026939976349823476
Correlation,4,4,62,XGB,0.24472987022618742,0.11336997117346334,0.24363224063699018,0.11560179117395016,0.2436148717005561,0.07832351636687561,0.7563677593630096,1.1424378000001525,0.000587837052764742
Correlation,4,4,62,LGBM,0.2447367372921511,0.11337133997478284,0.2436349854013522,0.11560541780183371,0.24361573280981394,0.07832282387007841,0.7563650145986476,0.5739920999994865,0.0006926698191081973
Correlation,4,4,62,KNN,0.04472657403452486,0.10812359457832128,0.20004885680564324,0.015686446987986928,0.10370065159393553,0.09839019525111034,0.7999511431943567,0.07216809999954421,1.3992725456076187
Correlation,4,4,62,MLP,0.24474085753172928,0.11337216142066922,0.24363663225996937,0.11560759396786098,0.2431696007795736,0.07832240837200008,0.7563633677400305,33.60678300000018,0.0009539960143552658
Correlation,4,4,72,DT,0.24471750950745283,0.11336750819744257,0.24362730006113864,0.11559526423713082,0.24356208384878517,0.07832476286111058,0.7563726999388611,0.012423499999385967,4.1285349939317e-05
Correlation,4,4,72,RF,0.8619074237103307,0.19660852518063343,0.24362839796688346,0.19996581573600603,0.24393009204029908,0.030549374565255492,0.7563716020331163,0.9963133000001108,0.00278501839686927
Correlation,4,4,72,XGB,0.24472712339980196,0.11336942374921513,0.24363114273124536,0.11560034063319136,0.24391584849810535,0.0783237933655945,0.7563688572687544,1.257561600000372,0.0005345146975807562
Correlation,4,4,72,LGBM,0.21705422097943589,0.10963715982893948,0.24363114273124536,0.10856500180474649,0.24393058752418534,0.07907259756975653,0.7563688572687544,0.6088189000001876,0.0006774144947282086
Correlation,4,4,72,KNN,0.04470597283663388,0.10812333667424301,0.20004062251255733,0.015669509143479716,0.10369764995015167,0.09839227274150195,0.7999593774874424,0.07055200000013429,1.3111131681483497
Correlation,4,4,72,MLP,0.2898849491768448,0.20148059029971152,0.24192997060144567,0.1671903960458346,0.24353355574885455,0.07382550175288972,0.7580700293985541,14.074072699999306,0.0003164122876526741
Correlation,4,4,82,DT,0.24471201585468189,0.1133664138988048,0.24362510424964903,0.1155923637860933,0.24356195116533047,0.07832531685854834,0.7563748957503507,0.012904400000479654,4.151594601399756e-05
Correlation,4,4,82,RF,0.2447202563338383,0.1133680554292164,0.24362839796688346,0.11559671455719496,0.2439299593563991,0.07832448586239169,0.7563716020331163,0.9866422000013699,0.0026938535639406203
Correlation,4,4,82,XGB,0.24471888292064556,0.11336778180645732,0.24362784901401105,0.1155959893892831,0.2439301830596805,0.07832462436175114,0.7563721509859888,1.062741300000198,0.0005539298158398825
Correlation,4,4,82,LGBM,0.21704872732666494,0.10963606514544526,0.2436289469197558,0.1085621009124228,0.24393022341190287,0.07907315156719429,0.756371053080244,0.6043396000004577,0.0007284823921563168
Correlation,4,4,82,KNN,0.04470597283663388,0.10812333667424301,0.20004062251255733,0.015669509143479716,0.10369764995015167,0.09839227274150195,0.7999593774874424,0.07085559999904945,1.1809301153804437
Correlation,4,4,82,MLP,0.2622147935828642,0.19782437617841872,0.24193106850719048,0.160169165663214,0.24381746618227867,0.07457402895833287,0.7580689314928093,26.34103099999993,0.0016363480668513957
Correlation,8,8,42,DT,0.8580852147949563,0.32536920798195307,0.4455452476180136,0.33207244997588864,0.44258890634243286,0.02215420987730643,0.5544547523819864,0.020356600000013714,4.509437408744914e-05
Correlation,8,8,42,RF,0.8534046226341241,0.3248664067674172,0.4442618579292457,0.3300647753226776,0.4428097930056241,0.022624562968354436,0.5557381420707541,1.0378273999995145,0.002702255968510476
Correlation,8,8,42,XGB,0.858086588208149,0.32536939168608914,0.44554579657088594,0.332073081900783,0.4428089802550675,0.02215407137794699,0.5544542034291139,1.2828156999985367,0.0007330960990956774
Correlation,8,8,42,LGBM,0.8580907084477272,0.3253699428401548,0.44554744342950325,0.3320749777220131,0.44280979304015433,0.02215365587986867,0.5544525565704967,0.9103666999999405,0.0014850810245097342
Correlation,8,8,42,KNN,0.05332276720783725,0.20884793774440097,0.30273990538871187,0.12111511129126266,0.20577044818882814,0.09763970158650745,0.697260094611288,0.1366704000010941,0.8082741630763373
Correlation,8,8,42,MLP,0.9024038851112396,0.33702499619147647,0.4437944477320025,0.35635315686458074,0.4427597696141533,0.01773973734439136,0.5562055522679975,11.31716619999861,0.0003164400306005649
