FS_Method,K,Classifier,accuracy,precision,recall,f1,pr_auc,fpr,fnr,train_time_s,inference_ms
Correlation,4,DT,0.2447 ± 0.0000,0.1134 ± 0.0000,0.2436 ± 0.0000,0.1156 ± 0.0000,0.2436 ± 0.0001,0.0783 ± 0.0000,0.7564 ± 0.0000,0.0127 ± 0.0004,0.0000 ± 0.0000
Correlation,4,RF,0.4851 ± 0.3442,0.1458 ± 0.0464,0.2436 ± 0.0000,0.1477 ± 0.0478,0.2439 ± 0.0001,0.0594 ± 0.0263,0.7564 ± 0.0000,0.9935 ± 0.0047,0.0027 ± 0.0000
Correlation,4,XGB,0.2447 ± 0.0000,0.1134 ± 0.0000,0.2436 ± 0.0000,0.1156 ± 0.0000,0.2439 ± 0.0001,0.0783 ± 0.0000,0.7564 ± 0.0000,1.1532 ± 0.0872,0.0006 ± 0.0000
Correlation,4,LGBM,0.2281 ± 0.0152,0.1111 ± 0.0020,0.2436 ± 0.0000,0.1114 ± 0.0039,0.2439 ± 0.0001,0.0788 ± 0.0004,0.7564 ± 0.0000,0.6044 ± 0.0210,0.0007 ± 0.0000
Correlation,4,KNN,0.0447 ± 0.0000,0.1081 ± 0.0000,0.2000 ± 0.0000,0.0157 ± 0.0000,0.1037 ± 0.0000,0.0984 ± 0.0000,0.8000 ± 0.0000,0.0710 ± 0.0007,1.4009 ± 0.1681
Correlation,4,MLP,0.2418 ± 0.0372,0.1460 ± 0.0491,0.2428 ± 0.0009,0.1302 ± 0.0311,0.2435 ± 0.0004,0.0774 ± 0.0031,0.7572 ± 0.0009,28.1067 ± 8.9807,0.0011 ± 0.0005
Correlation,8,DT,0.8570 ± 0.0020,0.3253 ± 0.0002,0.4453 ± 0.0006,0.3316 ± 0.0009,0.4425 ± 0.0003,0.0223 ± 0.0002,0.5547 ± 0.0006,0.0205 ± 0.0003,0.0000 ± 0.0000
Correlation,8,RF,0.8533 ± 0.0003,0.3249 ± 0.0000,0.4443 ± 0.0001,0.3300 ± 0.0001,0.4427 ± 0.0003,0.0226 ± 0.0000,0.5557 ± 0.0001,1.0738 ± 0.0207,0.0027 ± 0.0000
Correlation,8,XGB,0.8570 ± 0.0020,0.3253 ± 0.0002,0.4453 ± 0.0006,0.3316 ± 0.0009,0.4428 ± 0.0003,0.0223 ± 0.0002,0.5547 ± 0.0006,1.4433 ± 0.0901,0.0007 ± 0.0000
Correlation,8,LGBM,0.8570 ± 0.0020,0.3253 ± 0.0002,0.4453 ± 0.0006,0.3316 ± 0.0009,0.4429 ± 0.0002,0.0223 ± 0.0002,0.5547 ± 0.0006,1.0566 ± 0.0839,0.0015 ± 0.0000
Correlation,8,KNN,0.0530 ± 0.0005,0.2122 ± 0.0051,0.3031 ± 0.0007,0.1217 ± 0.0012,0.2057 ± 0.0001,0.0976 ± 0.0001,0.6969 ± 0.0007,0.1378 ± 0.0023,0.6757 ± 0.1114
Correlation,8,MLP,0.5132 ± 0.3529,0.2888 ± 0.0451,0.4431 ± 0.0019,0.3019 ± 0.0490,0.4425 ± 0.0005,0.0535 ± 0.0324,0.5569 ± 0.0019,16.4838 ± 5.4907,0.0007 ± 0.0003
Correlation,16,DT,0.9446 ± 0.0007,0.8109 ± 0.0157,0.8636 ± 0.0004,0.8010 ± 0.0013,0.8283 ± 0.0021,0.0060 ± 0.0001,0.1364 ± 0.0004,0.0822 ± 0.0034,0.0001 ± 0.0000
Correlation,16,RF,0.9474 ± 0.0010,0.8151 ± 0.0179,0.8607 ± 0.0007,0.8025 ± 0.0008,0.8510 ± 0.0002,0.0057 ± 0.0001,0.1393 ± 0.0007,1.3152 ± 0.0127,0.0029 ± 0.0001
Correlation,16,XGB,0.9451 ± 0.0004,0.8002 ± 0.0013,0.8621 ± 0.0006,0.7999 ± 0.0011,0.8531 ± 0.0012,0.0060 ± 0.0000,0.1379 ± 0.0006,2.1977 ± 0.0170,0.0011 ± 0.0000
Correlation,16,LGBM,0.9453 ± 0.0004,0.8025 ± 0.0015,0.8630 ± 0.0004,0.8003 ± 0.0010,0.8545 ± 0.0009,0.0059 ± 0.0000,0.1370 ± 0.0004,1.5420 ± 0.0398,0.0030 ± 0.0001
Correlation,16,KNN,0.4919 ± 0.0016,0.6173 ± 0.0021,0.6511 ± 0.0008,0.5323 ± 0.0006,0.5173 ± 0.0008,0.0523 ± 0.0002,0.3489 ± 0.0008,0.0066 ± 0.0003,0.0616 ± 0.0004
Correlation,16,MLP,0.9274 ± 0.0042,0.7804 ± 0.0105,0.8500 ± 0.0039,0.7802 ± 0.0069,0.8420 ± 0.0008,0.0078 ± 0.0004,0.1500 ± 0.0039,62.8028 ± 22.7427,0.0012 ± 0.0002
ChiSquare,4,DT,0.2665 ± 0.0000,0.2167 ± 0.0000,0.3387 ± 0.0000,0.2244 ± 0.0000,0.3428 ± 0.0001,0.0762 ± 0.0000,0.6613 ± 0.0000,0.0130 ± 0.0007,0.0000 ± 0.0000
ChiSquare,4,RF,0.5068 ± 0.3442,0.2492 ± 0.0465,0.3387 ± 0.0000,0.2566 ± 0.0479,0.3430 ± 0.0001,0.0571 ± 0.0265,0.6613 ± 0.0000,0.9974 ± 0.0041,0.0027 ± 0.0000
ChiSquare,4,XGB,0.2665 ± 0.0000,0.2167 ± 0.0000,0.3387 ± 0.0000,0.2244 ± 0.0000,0.3431 ± 0.0000,0.0762 ± 0.0000,0.6613 ± 0.0000,1.1794 ± 0.0935,0.0006 ± 0.0000
ChiSquare,4,LGBM,0.2600 ± 0.0120,0.2158 ± 0.0016,0.3387 ± 0.0000,0.2228 ± 0.0031,0.3431 ± 0.0000,0.0763 ± 0.0003,0.6613 ± 0.0000,0.5569 ± 0.0185,0.0007 ± 0.0000
ChiSquare,4,KNN,0.0466 ± 0.0000,0.2081 ± 0.0000,0.3000 ± 0.0000,0.1157 ± 0.0000,0.2035 ± 0.0000,0.0982 ± 0.0000,0.7000 ± 0.0000,0.0718 ± 0.0024,1.3025 ± 0.2145
