method,K,actual_K,seed,classifier,accuracy,precision,recall,f1,pr_auc,fpr,fnr,train_time_s,inference_ms
SHAP,4,4,42,DT,0.9484022397622347,0.774463536040263,0.8341054539053848,0.7780507168525974,0.7985544120289733,0.005435670796688449,0.16589454609461515,0.053324100001191255,7.542785254804131e-05
SHAP,4,4,42,RF,0.9688303875909371,0.7970839361897156,0.8294808190119929,0.7969860206311681,0.8210561846165237,0.0033663540659634025,0.17051918098800709,1.286790900001506,0.0028528996186012673
SHAP,4,4,42,XGB,0.961423570242531,0.8004304693936124,0.8337605599383506,0.788883888973267,0.8206933427503011,0.004111777047487914,0.1662394400616494,1.8855531999979576,0.0012300465724411358
SHAP,4,4,42,LGBM,0.33045557489016125,0.19161308470821162,0.16279046667088434,0.07317994697156557,0.11448470476430665,0.07844027698684443,0.8372095333291154,1.052709399999003,0.0010764069588102571
SHAP,4,4,42,KNN,0.7516086102019879,0.6671578377529176,0.6487023795190874,0.5600766920167161,0.5284851994115003,0.02527981492133911,0.3512976204809127,0.08508780000192928,0.08126341680481029
SHAP,4,4,42,MLP,0.9514731916611845,0.697256466318826,0.7384085428035332,0.6994639203230593,0.6792856244359334,0.007224085464530604,0.26159145719646676,37.15565299999798,0.002178349514429209
SHAP,4,4,52,DT,0.9484297080260894,0.7773028723509913,0.8324499179659457,0.7795301128954077,0.8002711798677206,0.005431619713702263,0.1675500820340543,0.04996490000121412,7.700384418561137e-05
SHAP,4,4,52,RF,0.9684444584837794,0.7835179763360067,0.8315222490219231,0.7916521533041206,0.8212360203310072,0.0034023502155083587,0.16847775097807702,1.2865490000003774,0.002749303061477386
SHAP,4,4,52,XGB,0.9449096500131161,0.7877142566579678,0.8209212079555053,0.7784925166623721,0.8176677243171238,0.005784130683878419,0.1790787920444947,1.8890752000006614,0.001150468677250677
SHAP,4,4,52,LGBM,0.9607849331079105,0.7947422475338514,0.8340517280280608,0.7905446724581687,0.8228929296464214,0.004158743281492355,0.16594827197193912,1.1899470999996993,0.0035568104126719466
SHAP,4,4,52,KNN,0.7516058633756024,0.7230568307711787,0.6491056251401479,0.5602771696463233,0.567889715473928,0.025276867330444364,0.3508943748598521,0.09569220000048517,0.06661380692282635
SHAP,4,4,52,MLP,0.9527367317984983,0.6941597333795512,0.7763871604330397,0.7032254649939005,0.7526158164932235,0.005009135659441824,0.22361283956696018,70.38956979999784,0.002144262085689171
SHAP,4,4,62,DT,0.9472829080101578,0.7787412676498898,0.8329302041669877,0.7800562711546862,0.7991683124812152,0.005547008313104363,0.16706979583301237,0.049808899999334244,7.876346116625825e-05
SHAP,4,4,62,RF,0.9687727042368424,0.7948504243413983,0.8294949567103462,0.7955521127139867,0.821065457670499,0.00337199617680421,0.17050504328965382,1.2176392000001215,0.0026959907322098536
SHAP,4,4,62,XGB,0.9602753968134067,0.7954670152797544,0.8342843553808962,0.7908095252195834,0.8214528895658683,0.004223665117265451,0.16571564461910382,1.7705715000010969,0.0011504467026371503
SHAP,4,4,62,LGBM,0.9606091362192407,0.79677687734254,0.8349322372705782,0.7917202654827432,0.8248327010455897,0.004175010593788626,0.1650677627294219,1.236217099998612,0.003384605548866519
SHAP,4,4,62,KNN,0.7603668661320427,0.7233338562143411,0.6523131923244228,0.5654306110599785,0.5436511100200303,0.024394187371496796,0.3476868076755773,0.08638889999929233,0.07041387325868341
SHAP,4,4,62,MLP,0.9450662191170875,0.7156343326315461,0.7429859558360722,0.7063273543438123,0.7367908776976728,0.00783740261955125,0.2570140441639278,88.7902482999998,0.002087412530750423
SHAP,4,4,72,DT,0.946947795191131,0.7780314517328668,0.8328837511791398,0.7796210137403906,0.7975441705340786,0.005582569432057914,0.16711624882086004,0.04951230000006035,7.691347359391673e-05
SHAP,4,4,72,RF,0.9687727042368424,0.7948924164468606,0.8294898751945418,0.7955589316727844,0.8210531858122241,0.0033719360746380595,0.1705101248054583,1.2310571000016353,0.0026888675246875705
SHAP,4,4,72,XGB,0.9610527486804933,0.7963249549300284,0.8334803404828968,0.7914479744428702,0.8223049215980508,0.004149213001895057,0.16651965951710315,1.7587445999997726,0.0011694978664019019
SHAP,4,4,72,LGBM,0.7072006680281769,0.22395872790225244,0.2521781683525763,0.1769655661819281,0.15767834154082364,0.05683433357553397,0.7478218316474234,1.057451199998468,0.0017697515358203859
SHAP,4,4,72,KNN,0.7509933210916437,0.6475449064844,0.6311797681668507,0.5467917655575665,0.5280511709079179,0.025344394720301887,0.3688202318331493,0.08572920000005979,0.06669334883459196
SHAP,4,4,72,MLP,0.9358107876112637,0.7149405053348603,0.7536914825849036,0.7004661114203616,0.7287116976414033,0.008782096904090162,0.24630851741509643,56.931045899997116,0.0016829871187620078
SHAP,4,4,82,DT,0.9471661678887755,0.7781857435129306,0.8326580241081526,0.7794672995741061,0.8000424471309874,0.005557989501567378,0.16734197589184746,0.052453100001002895,7.739622833470558e-05
SHAP,4,4,82,RF,0.9696201001767583,0.8013963834170521,0.829449953074324,0.7922787208277063,0.8211505612222505,0.0032873031486637125,0.17055004692567596,1.2172274000004109,0.002712343001704249
SHAP,4,4,82,XGB,0.9498099882847855,0.7910436857040483,0.8220636857943837,0.7814609098375965,0.817646035966866,0.005301629345340832,0.17793631420561612,1.8364494999987073,0.0011447716219848763
SHAP,4,4,82,LGBM,0.044874902659339966,0.1411797972769707,0.2352616921109359,0.07435847016010752,0.13287721925103652,0.09786341471318014,0.7647383078890639,1.0779115000004822,0.001879733365565095
SHAP,4,4,82,KNN,0.7218179046384283,0.6556404037249759,0.6367208705235516,0.5408297157653296,0.5301449186209324,0.028416276574888072,0.3632791294764484,0.08341269999800716,0.07804283318660739
SHAP,4,4,82,MLP,0.9509293200368624,0.7081523271225532,0.736489819658366,0.6988468551497095,0.7531544805092741,0.007274336826381322,0.263510180341634,50.41963670000041,0.0014683958396556381
SHAP,8,8,42,DT,0.9942495189620293,0.8796301974173039,0.8978147265264663,0.8857214846518537,0.8936532805748858,0.0005932383458627756,0.10218527347353376,0.059539800000493415,5.667375805551871e-05
SHAP,8,8,42,RF,0.9941190447087197,0.8738121735568727,0.8955204788146787,0.8807359120454507,0.8983598719506765,0.0006050869767786013,0.10447952118532126,1.2363418999993883,0.002730656642579651
SHAP,8,8,42,XGB,0.8821584012371706,0.7854468259014311,0.8518933699131814,0.7689316883531222,0.8981224756059248,0.011896931768739624,0.14810663008681854,1.8366138999990653,0.0010486178656334967
SHAP,8,8,42,LGBM,0.9944994801631065,0.8872828772566843,0.8982828412482649,0.8845460848088393,0.8990500261116946,0.0005681363349492491,0.10171715875173512,1.370496399998956,0.0031782925177838164
SHAP,8,8,42,KNN,0.9620677010299226,0.7646119252096657,0.7573816301295544,0.7422019707030054,0.7062759650465258,0.004032224432735917,0.2426183698704456,0.14822819999972126,0.02225261394865988
SHAP,8,8,42,MLP,0.9883136271430396,0.8117579321635201,0.8527089462448327,0.8285369448115976,0.8843985119384135,0.0019602014360575433,0.14729105375516732,54.31105440000101,0.001553608986517288
SHAP,8,8,52,DT,0.9940448803963121,0.8868319864572953,0.8969844514652137,0.888249264848359,0.8937416046508663,0.0006121984437209827,0.10301554853478634,0.0551789999990433,5.45740839671488e-05
SHAP,8,8,52,RF,0.9943607654306406,0.8740425900821769,0.8961503847397811,0.8802490674440611,0.8980199777912066,0.0005806357390851692,0.10384961526021877,1.2353304999996908,0.0027182206608010804
SHAP,8,8,52,XGB,0.9629150969698385,0.8010206610472228,0.8848618916726796,0.8130583278297199,0.8987072688713014,0.0037524474276275895,0.11513810832732045,1.86595540000053,0.0010725910675938367
SHAP,8,8,52,LGBM,0.008659370180178077,0.20147886036184137,0.12714896832386083,0.05017084423812672,0.1298846558879948,0.11108886957646089,0.8728510316761391,1.1045213999968837,0.0010915969087178777
SHAP,8,8,52,KNN,0.9614936143153604,0.7454206498667405,0.7406343346763441,0.7309477535717119,0.7062483052492275,0.004096471690416611,0.2593656653236559,0.1467350000020815,0.018768324559513792
SHAP,8,8,52,MLP,0.9901251591442537,0.8633980361504087,0.8846361194238088,0.8728395407999221,0.8858135785238834,0.0017785056364457547,0.1153638805761911,57.82554830000299,0.0015501558137239492
SHAP,8,8,62,DT,0.9940174121324574,0.8871826611122424,0.8968252982104981,0.8886894662227854,0.8942710401250263,0.0006158013142104549,0.10317470178950197,0.05623380000179168,5.4827204017321383e-05
SHAP,8,8,62,RF,0.9935092492511465,0.8774109034834741,0.8966363334850346,0.8843814656267301,0.8966204310997163,0.0006663792221731557,0.10336366651496524,1.2323975999970571,0.0027152183795646637
SHAP,8,8,62,XGB,0.9275826691736035,0.7927919029832768,0.8706783530646401,0.7905004537504651,0.8978969059808769,0.007315529114973686,0.12932164693535986,1.835682099997939,0.0010645729440309957
SHAP,8,8,62,LGBM,0.9939185263825807,0.881590545550529,0.8974957877197826,0.8858630257592093,0.8990784798244384,0.0006252661193453842,0.10250421228021742,1.3193548999988707,0.0033195979195541833
SHAP,8,8,62,KNN,0.9617861513254125,0.7476017468662448,0.7567855649479066,0.7422886806001399,0.7070216956255845,0.0040799902632386855,0.24321443505209342,0.1451983000006294,0.025367551739908782
SHAP,8,8,62,MLP,0.9853635356050503,0.8619107394966257,0.8837805003188672,0.8688516729310936,0.8858296256017495,0.002267356309498976,0.11621949968113272,64.18725780000022,0.0013641633922181005
SHAP,8,8,72,DT,0.9940256526116139,0.8865056079650359,0.8967681174345058,0.8883322654471776,0.8947748916145395,0.0006155262187694656,0.10323188256549423,0.056537399999797344,5.4735597359330556e-05
SHAP,8,8,72,RF,0.9943882336944952,0.8682380727699922,0.8959638442536481,0.8803574326815221,0.8977010450709294,0.0005776409684497929,0.1040361557463519,1.2492233999983,0.0027473947038445788
